Step,Learning Rate,Train Loss,Validation Loss,Perplexity,Time Elapsed
0,tensor(0.0100),6.299936771392822,6.28654670715332,537.294677734375,0.5197079181671143
2,tensor(0.0098),5.810067653656006,5.815810203552246,335.56317138671875,1.4258098602294922
4,tensor(0.0003),5.712986946105957,5.684119701385498,294.1587829589844,2.31191086769104
6,tensor(0.0069),5.400994300842285,5.335613250732422,207.6000213623047,3.20032000541687
8,tensor(0.0011),5.269681453704834,5.292204856872559,198.78121948242188,4.07666277885437
9,0.0001,5.272426605224609,5.307652473449707,201.87576293945312,4.5851967334747314
