Step,Learning Rate,Train Loss,Validation Loss,Perplexity,Time Elapsed
0,1e-07,185.6477813720703,185.14125061035156,inf,4.465947151184082
60,tensor(0.0100),4.700628280639648,4.562854766845703,95.85673522949219,331.78477597236633
120,tensor(0.0093),3.4270131587982178,3.25480318069458,25.914512634277344,717.4882152080536
180,tensor(0.0075),3.0058178901672363,2.900005578994751,18.174245834350586,1087.8607499599457
240,tensor(0.0050),2.821864366531372,2.7553622722625732,15.726737022399902,1384.9266376495361
300,tensor(0.0025),2.6142220497131348,2.644139051437378,14.071325302124023,1644.8559670448303
360,tensor(0.0007),2.5873117446899414,2.490642547607422,12.069028854370117,1880.9257197380066
420,tensor(0.0100),3.256941080093384,3.2072808742523193,24.71179962158203,2111.4908006191254
480,tensor(0.0098),2.5394446849823,2.6721549034118652,14.47111988067627,2421.69069647789
540,tensor(0.0093),2.509944438934326,2.490149974822998,12.063085556030273,2677.362585067749
600,tensor(0.0085),2.4655649662017822,2.4047224521636963,11.075355529785156,2907.249205350876
660,tensor(0.0074),2.335906982421875,2.3365111351013184,10.345081329345703,3119.0147857666016
720,tensor(0.0062),2.2138924598693848,2.401113748550415,11.035460472106934,3314.4704115390778
780,tensor(0.0049),2.2493484020233154,2.1781423091888428,8.829887390136719,3501.4984862804413
840,tensor(0.0036),2.2138524055480957,2.1501305103302,8.585979461669922,3684.8938467502594
900,tensor(0.0024),2.115368604660034,2.130324363708496,8.417596817016602,3884.3117051124573
960,tensor(0.0014),2.171187162399292,2.1010000705718994,8.174341201782227,4064.126773118973
1020,tensor(0.0007),2.0426883697509766,2.0826244354248047,8.025504112243652,4241.599500179291
1080,tensor(0.0002),2.154947280883789,2.0145485401153564,7.497341632843018,4417.300803184509
1140,tensor(0.0100),2.251469850540161,2.1639368534088135,8.705342292785645,4593.6531937122345
1200,tensor(0.0099),2.1057491302490234,2.1767144203186035,8.817288398742676,4791.103546380997
1260,tensor(0.0098),2.252148151397705,2.1103408336639404,8.251052856445312,4997.019858837128
1320,tensor(0.0096),2.0590920448303223,1.8419318199157715,6.308713912963867,5196.873539209366
1380,tensor(0.0093),1.863615870475769,1.8837473392486572,6.578109264373779,5398.6341371536255
1440,tensor(0.0089),1.8392138481140137,1.8482829332351685,6.348908424377441,5596.371637582779
1500,tensor(0.0084),1.8684310913085938,1.7760670185089111,5.906580448150635,5792.3086841106415
1560,tensor(0.0079),1.8162373304367065,1.630125880241394,5.104517459869385,5988.451702594757
1620,tensor(0.0074),1.7696504592895508,1.7262529134750366,5.6195573806762695,6186.565305233002
1680,tensor(0.0068),1.7311601638793945,1.6943120956420898,5.442900657653809,6384.82239151001
1740,tensor(0.0061),1.652278184890747,1.7922180891036987,6.002752304077148,6585.095876216888
1800,tensor(0.0055),1.6446356773376465,1.5917870998382568,4.912520408630371,6785.899904966354
1860,tensor(0.0048),1.5042186975479126,1.5561412572860718,4.7404937744140625,6986.704992771149
1920,tensor(0.0042),1.5300191640853882,1.6291766166687012,5.099674224853516,7188.414972543716
1980,tensor(0.0035),1.4969851970672607,1.4578843116760254,4.296859264373779,7391.642017364502
2040,tensor(0.0029),1.4891983270645142,1.5865987539291382,4.88709831237793,7594.129684448242
2100,tensor(0.0024),1.432411551475525,1.4899626970291138,4.436930179595947,7798.44432759285
2160,tensor(0.0018),1.4650559425354004,1.4915446043014526,4.4439544677734375,8001.8821041584015
2220,tensor(0.0014),1.5525628328323364,1.408582329750061,4.090152740478516,8204.817075967789
2280,tensor(0.0010),1.3873794078826904,1.2893681526184082,3.6304919719696045,8407.588272094727
2340,tensor(0.0006),1.4608392715454102,1.4591484069824219,4.3022942543029785,8610.151923894882
2400,tensor(0.0004),1.3262958526611328,1.4205414056777954,4.1393609046936035,8811.61166548729
2460,tensor(0.0002),1.3794920444488525,1.4420831203460693,4.22949743270874,9012.594646930695
2520,tensor(0.0001),1.4544601440429688,1.423801302909851,4.152876853942871,9212.766049861908
2580,tensor(0.0100),1.657592535018921,1.614068865776062,5.0232086181640625,9412.706033229828
2640,tensor(0.0100),1.5821574926376343,1.611215591430664,5.008896350860596,9615.010331630707
2700,tensor(0.0099),1.6322088241577148,1.492462396621704,4.448034763336182,9818.705784797668
2760,tensor(0.0099),1.4326694011688232,1.4753962755203247,4.372768402099609,10021.827780485153
2820,tensor(0.0098),1.4879636764526367,1.4563685655593872,4.290350914001465,10224.08659029007
2880,tensor(0.0097),1.5343036651611328,1.4667565822601318,4.335151672363281,10424.562107801437
2940,tensor(0.0096),1.5003135204315186,1.4086638689041138,4.090486526489258,10618.524285554886
3000,tensor(0.0094),1.3891350030899048,1.331409215927124,3.7863755226135254,10807.101221561432
3060,tensor(0.0092),1.4521015882492065,1.4038106203079224,4.070682048797607,10993.57907485962
3120,tensor(0.0091),1.3642069101333618,1.3679035902023315,3.9271092414855957,11187.30440378189
3180,tensor(0.0089),1.3796719312667847,1.3754663467407227,3.9569215774536133,11363.488364696503
3240,tensor(0.0086),1.3330190181732178,1.3518891334533691,3.8647196292877197,11535.642226457596
3300,tensor(0.0084),1.3097137212753296,1.2764835357666016,3.584014415740967,11705.205018043518
3360,tensor(0.0082),1.3961892127990723,1.285069465637207,3.6149191856384277,11873.196988344193
3420,tensor(0.0079),1.3949156999588013,1.3172197341918945,3.7330281734466553,12043.238097667694
3480,tensor(0.0076),1.195766806602478,1.2492926120758057,3.487874746322632,12213.408190250397
3540,tensor(0.0073),1.3317838907241821,1.234160304069519,3.435492515563965,12380.213509321213
3600,tensor(0.0070),1.3016349077224731,1.2445311546325684,3.471306800842285,12547.549284934998
3660,tensor(0.0067),1.1934187412261963,1.295191764831543,3.65169620513916,12712.657269239426
3720,tensor(0.0064),1.2925100326538086,1.190877914428711,3.289968252182007,12879.890192508698
3780,tensor(0.0061),1.2381534576416016,1.2527185678482056,3.499844551086426,13046.788457632065
3840,tensor(0.0058),1.1563141345977783,1.2638925313949585,3.539170980453491,13222.823276758194
3900,tensor(0.0055),1.191407561302185,1.2449536323547363,3.472773790359497,13391.29082608223
3960,tensor(0.0051),1.1602864265441895,1.1169198751449585,3.0554285049438477,13559.225813150406
4020,tensor(0.0048),1.1773006916046143,1.1835163831710815,3.2658379077911377,13727.458410263062
4080,tensor(0.0045),1.1570372581481934,1.265431523323059,3.5446219444274902,13895.431314945221
4140,tensor(0.0042),1.2783373594284058,1.0932940244674683,2.9840874671936035,14062.731254339218
4200,tensor(0.0038),1.1050806045532227,1.2046817541122437,3.3356974124908447,14228.769815444946
4260,tensor(0.0035),1.1966496706008911,1.1404939889907837,3.1283133029937744,14396.700222492218
4320,tensor(0.0032),1.1714351177215576,1.089763879776001,2.97357177734375,14562.902727842331
4380,tensor(0.0029),1.1406779289245605,1.0317928791046143,2.8060922622680664,14729.502389192581
4440,tensor(0.0026),1.0702041387557983,1.1103750467300415,3.035496711730957,14895.780303239822
4500,tensor(0.0023),1.1370699405670166,1.0597602128982544,2.885679006576538,15063.316810131073
