Step,Learning Rate,Train Loss,Validation Loss,Perplexity,Time Elapsed
0,9.5367431640625e-07,0.0,7.672685623168945,7.6580810546875,2117.689697265625,1e-06,0.0
20,32.07204508781433,20433.99532811141,6.332097053527832,6.4896955490112305,658.3228759765625,0.0010009,"tensor(1.0508, device='mps:0')"
40,63.53563904762268,20829.152602120343,5.241541862487793,4.9959893226623535,147.81910705566406,0.0020008000000000005,"tensor(0.5846, device='mps:0')"
60,93.81871795654297,21641.128432517307,4.15278434753418,5.081984519958496,161.0934295654297,0.0030007000000000002,"tensor(0.5538, device='mps:0')"
80,124.48295998573303,21372.12455393961,4.384493827819824,4.143511772155762,63.02375793457031,0.004000600000000001,"tensor(0.6112, device='mps:0')"
100,154.389151096344,21913.857153392993,3.5480732917785645,4.192939758300781,66.21717071533203,0.005000500000000001,"tensor(0.4106, device='mps:0')"
120,184.88744807243347,21488.412960035086,4.007263660430908,3.4037294387817383,30.07605743408203,0.0060004,"tensor(0.5801, device='mps:0')"
140,215.58882999420166,21346.270394927415,3.9275875091552734,4.253452301025391,70.34785461425781,0.0070003,"tensor(0.4532, device='mps:0')"
160,245.80963587760925,21685.722165331743,3.5475125312805176,3.9868760108947754,53.886287689208984,0.0080002,"tensor(0.5441, device='mps:0')"
180,275.4191370010376,22133.436063921057,3.654369831085205,3.572038412094116,35.58906555175781,0.0090001,"tensor(0.5497, device='mps:0')"
200,305.2869551181793,21942.011211856017,3.7775089740753174,3.614816904067993,37.1445426940918,tensor(0.0100),"tensor(0.4379, device='mps:0')"
220,335.28709506988525,21845.231424086523,3.3712992668151855,3.491424322128296,32.832679748535156,tensor(0.0100),"tensor(0.4271, device='mps:0')"
240,365.46245408058167,21718.382862245027,3.799528121948242,3.308805465698242,27.352432250976562,tensor(0.0100),"tensor(0.3846, device='mps:0')"
260,399.38000321388245,19322.150825943885,3.310457944869995,2.9673702716827393,19.44072914123535,tensor(0.0100),"tensor(0.3936, device='mps:0')"
280,1378.8227689266205,669.1151570486063,3.109351873397827,3.0112969875335693,20.313730239868164,tensor(0.0099),"tensor(0.4356, device='mps:0')"
300,1408.345743894577,22198.304903598313,2.7148706912994385,2.9791252613067627,19.670602798461914,tensor(0.0099),"tensor(0.3997, device='mps:0')"
320,1438.2220511436462,21935.776551515333,3.705231189727783,2.669926643371582,14.438909530639648,tensor(0.0099),"tensor(0.3498, device='mps:0')"
340,1467.9853551387787,22019.060790669577,2.8572592735290527,3.031367301940918,20.72555160522461,tensor(0.0098),"tensor(0.4521, device='mps:0')"
360,1497.5016469955444,22203.331068153057,3.4171268939971924,2.778365135192871,16.092689514160156,tensor(0.0098),"tensor(0.3707, device='mps:0')"
380,1681.967759847641,3552.739253119419,3.3402953147888184,2.6296401023864746,13.86877727508545,tensor(0.0097),"tensor(0.4015, device='mps:0')"
400,1726.3616378307343,14762.395847679358,3.2129874229431152,2.9154350757598877,18.45684051513672,tensor(0.0097),"tensor(0.3356, device='mps:0')"
420,1772.811593055725,14108.947938175956,2.8595011234283447,3.162271499633789,23.624197006225586,tensor(0.0096),"tensor(0.4115, device='mps:0')"
440,1817.8380069732666,14555.012113560373,2.9057092666625977,2.786466121673584,16.223587036132812,tensor(0.0095),"tensor(0.3457, device='mps:0')"
460,1864.4200320243835,14068.946107019574,2.811406135559082,2.9393367767333984,18.903305053710938,tensor(0.0094),"tensor(0.3106, device='mps:0')"
480,1910.1033930778503,14345.704538529491,3.068798542022705,2.8536789417266846,17.351499557495117,tensor(0.0094),"tensor(0.3389, device='mps:0')"
500,1956.1698529720306,14226.402495556065,3.1124579906463623,2.5850517749786377,13.263976097106934,tensor(0.0093),"tensor(0.3203, device='mps:0')"
520,2002.3810470104218,14181.845192217781,2.8215644359588623,2.5537655353546143,12.855420112609863,tensor(0.0092),"tensor(0.2939, device='mps:0')"
540,2049.2619771957397,13979.2448104036,3.166767120361328,2.8141002655029297,16.678163528442383,tensor(0.0091),"tensor(0.3207, device='mps:0')"
560,2099.864326953888,12951.17723054889,2.6773295402526855,3.1865129470825195,24.203880310058594,tensor(0.0089),"tensor(0.3279, device='mps:0')"
580,2145.3102509975433,14420.65518065956,2.869572877883911,2.959733247756958,19.292823791503906,tensor(0.0088),"tensor(0.3358, device='mps:0')"
600,2190.502627849579,14501.560786362617,2.432474374771118,2.558952569961548,12.922274589538574,tensor(0.0087),"tensor(0.3270, device='mps:0')"
620,2236.2594339847565,14322.677987268049,2.9135100841522217,3.2149710655212402,24.902570724487305,tensor(0.0086),"tensor(0.3913, device='mps:0')"
640,2282.932533979416,14041.492852949335,2.363468885421753,2.602334976196289,13.49521255493164,tensor(0.0085),"tensor(0.3922, device='mps:0')"
660,2329.5648231506348,14053.781438730733,2.352064371109009,2.539024591445923,12.667308807373047,tensor(0.0083),"tensor(0.3800, device='mps:0')"
680,2375.6089930534363,14233.289499701139,3.0189449787139893,2.4703006744384766,11.82600212097168,tensor(0.0082),"tensor(0.3857, device='mps:0')"
700,2420.8929789066315,14472.224289721142,2.867413282394409,2.8380000591278076,17.08156967163086,tensor(0.0080),"tensor(0.3721, device='mps:0')"
720,2467.0018849372864,14213.306200851792,3.0505259037017822,2.588353395462036,13.307840347290039,tensor(0.0079),"tensor(0.2960, device='mps:0')"
740,2537.026345014572,9359.015396572588,2.694711685180664,2.7196803092956543,15.175470352172852,tensor(0.0077),"tensor(0.3302, device='mps:0')"
760,2567.0858759880066,21802.07005156481,2.76414155960083,2.6756341457366943,14.52155590057373,tensor(0.0076),"tensor(0.3125, device='mps:0')"
