Step,Time Elapsed,Tokens Per Second,Train Loss,Validation Loss,Perplexity,Learning Rate,Norm
0,9.5367431640625e-07,0.0,7.651687622070312,7.664177894592285,2130.640380859375,1e-06,0.0
20,32.08087110519409,20428.37357293295,6.60834550857544,6.725164413452148,833.1089477539062,0.0010009,1.0539
40,63.63900303840637,20766.755186490893,5.884143829345703,5.667605400085449,289.3408508300781,0.0020008000000000005,0.4593
60,94.8125422000885,21022.95785540947,4.531051158905029,5.353331089019775,211.3110198974609,0.0030007000000000002,0.2867
80,126.16288614273073,20904.39585604005,4.471410274505615,4.174407005310059,65.00128173828125,0.004000600000000001,0.3274
100,157.534419298172,20890.276441154107,3.438056230545044,4.057756423950195,57.84438705444336,0.005000500000000001,0.3411
120,188.96475529670715,20851.192937630185,3.884384632110596,3.307780742645264,27.324419021606445,0.0060004,0.3421
140,220.6654901504517,20673.33779559336,3.628593683242798,3.982231378555298,53.6365852355957,0.0070003,0.346
160,251.8258140087128,21031.873833565867,3.3368031978607178,3.7128689289093018,40.9711799621582,0.0080002,0.5293
180,284.98457312583923,19764.31016869709,3.3649723529815674,3.2787394523620605,26.542293548583984,0.0090001,0.3515
200,315.7996320724488,21267.523814751865,3.4899399280548096,3.3212015628814697,27.693605422973636,0.01,0.3906
220,346.8103420734405,21133.34393114635,2.947388172149658,3.268552541732788,26.273283004760746,0.0093,0.2937
240,377.9702851772308,21032.13082954193,3.3675715923309326,2.8175764083862305,16.73624038696289,0.0073,0.3552
260,409.0755331516266,21069.11349941524,2.8710803985595703,2.50270414352417,12.215481758117676,0.0046,0.3148
280,439.59761095047,21471.670582821014,2.650092124938965,2.5350489616394043,12.617048263549805,0.0021,0.2501
300,470.3747761249542,21293.70903020415,2.3592898845672607,2.504918336868286,12.242559432983398,0.0004,0.2374
320,501.207227230072,21255.527099213286,3.4891586303710938,2.3070666790008545,10.044916152954102,0.01,0.3561
340,531.9649891853333,21307.141948534983,2.6322410106658936,2.833381175994873,17.002853393554688,0.0097,0.3599
360,562.4118881225586,21524.6879937167,3.0840957164764404,2.5041303634643555,12.232915878295898,0.009,0.3057
380,593.5375051498413,21055.32556753987,2.9268887042999268,2.279576063156128,9.772536277770996,0.008,0.2888
400,623.9786741733551,21528.73956626888,2.871314287185669,2.612413167953491,13.63190746307373,0.0068,0.2915
420,654.9452793598175,21163.44352420336,2.5440545082092285,2.786428689956665,16.222978591918945,0.0055,0.2612
440,685.3543291091919,21551.479095905743,2.5649819374084477,2.5082833766937256,12.283824920654297,0.0041,0.2619
460,716.3787031173706,21124.03621189045,2.34435772895813,2.4818716049194336,11.963634490966797,0.0028,0.2497
480,746.8589313030243,21501.151369610227,2.5890591144561768,2.4647562503814697,11.760615348815918,0.0017,0.2415
500,777.8651030063629,21136.43716710223,2.608226776123047,2.2229785919189453,9.234796524047852,0.0008,0.23
520,808.8581459522247,21145.390633142182,2.529113292694092,2.134063243865967,8.449128150939941,0.0003,0.2241
540,840.3452799320221,20813.580569780952,2.798635482788086,2.3783388137817383,10.786969184875488,0.01,0.2226
560,871.4261119365692,21085.6646277719,2.5245585441589355,2.9597280025482178,19.292722702026367,0.01,0.3188
580,902.074491262436,21383.186139532263,2.7020468711853027,2.7011260986328125,14.896496772766112,0.0098,0.2935
600,933.1068511009216,21118.60017771628,2.21712327003479,2.416739225387573,11.209248542785645,0.0096,0.2967
620,965.201464176178,20419.626136738072,2.629082441329956,2.974134922027588,19.572683334350582,0.0093,0.2834
640,996.4047710895538,21002.90209045337,2.150976657867432,2.436990737915039,11.43856716156006,0.0089,0.2609
660,1027.206175327301,21276.95201626083,2.2190778255462646,2.1937429904937744,8.968720436096191,0.0084,0.2631
680,1057.7014830112455,21490.519354393557,2.715552568435669,2.277286529541016,9.750187873840332,0.0078,0.2297
700,1088.1618690490725,21515.157397747884,2.5287201404571533,2.5855398178100586,13.270450592041016,0.0073,0.2294
720,1119.0793290138245,21197.0841313339,2.815204381942749,2.3893344402313232,10.906232833862305,0.0066,0.2448
740,1150.384229183197,20934.7417322601,2.340496301651001,2.3242504596710205,10.21901798248291,0.006,0.2356
760,1181.1630120277405,21292.589876281738,2.5170302391052246,2.343552589416504,10.418182373046877,0.0053,0.2607
780,1211.553023338318,21564.980456979916,2.008708477020264,2.1912436485290527,8.946331977844238,0.0046,0.2208
800,1242.1374650001526,21427.88831152021,2.516175985336304,2.339379072189331,10.374792098999023,0.0039,0.2239
820,1273.0000302791595,21234.787000864857,2.3429105281829834,2.3150973320007324,10.125908851623535,0.0033,0.2207
840,1304.7580783367157,20636.028977985978,2.334569215774536,1.9745211601257324,7.203169822692871,0.0026,0.2198
860,1335.4550199508667,21349.358129471933,2.3502893447875977,2.490525245666504,12.067612648010254,0.0021,0.2131
880,1366.3441081047058,21216.553778993548,1.990376114845276,2.225493669509888,9.258051872253418,0.0015,0.21
900,1397.1315882205963,21286.574852280475,2.1803905963897705,2.54359769821167,12.725370407104492,0.0011,0.2041
920,1428.4220571517944,20944.39688459172,2.0960793495178223,2.1650116443634038,8.714703559875488,0.0007,0.1929
940,1459.369044303894,21176.859536568387,2.151392698287964,2.3038439750671387,10.01259708404541,0.0004,0.2011
960,1490.0048532485962,21391.96001590588,2.009981155395508,2.078402042388916,7.991688251495361,0.0002,0.2035
980,1521.273206949234,20959.21026973134,2.0819337368011475,2.088575601577759,8.073407173156738,0.0001,0.1946
1000,1552.4257032871246,21037.15839949844,2.3911690711975098,2.5193772315979004,12.420859336853027,0.01,0.3445
1020,1583.760775089264,20914.584275988727,2.7961905002593994,2.360999822616577,10.60154628753662,0.01,0.2562
1040,1614.663675069809,21207.07119437278,2.464705467224121,2.790682554244995,16.292137145996094,0.0099,0.2655
