Step,Learning Rate,Train Loss,Validation Loss,Perplexity,Time Elapsed
0,4.0531158447265625e-06,6.2424516677856445,6.23628044128418,510.9544372558594,1e-08,0.0
5,11.994248151779175,6.243563652038574,6.236460208892822,511.0462951660156,tensor(5.5000e-06),tensor(0.3783)
9,21.552945137023926,6.240828990936279,6.236238479614258,510.9330139160156,1.0000000000000002e-06,tensor(0.3809)
