Step,Time Elapsed,Tokens Per Second,Train Loss,Validation Loss,Perplexity,Learning Rate,Norm
0,9.5367431640625e-07,0.0,7.672685623168945,7.6580810546875,2117.689697265625,1e-06,0.0
20,32.07204508781433,20433.99532811141,6.332097053527832,6.489695549011231,658.3228759765625,0.0010009,1.0508
40,63.53563904762268,20829.152602120343,5.241541862487793,4.9959893226623535,147.81910705566406,0.0020008000000000005,0.5846
60,93.81871795654295,21641.128432517307,4.15278434753418,5.081984519958496,161.0934295654297,0.0030007000000000002,0.5538
80,124.48295998573305,21372.12455393961,4.384493827819824,4.143511772155762,63.02375793457031,0.004000600000000001,0.6112
100,154.389151096344,21913.857153392997,3.5480732917785645,4.192939758300781,66.21717071533203,0.005000500000000001,0.4106
120,184.88744807243347,21488.41296003509,4.007263660430908,3.4037294387817383,30.07605743408203,0.0060004,0.5801
140,215.5888299942017,21346.27039492741,3.9275875091552734,4.253452301025391,70.34785461425781,0.0070003,0.4532
160,245.80963587760925,21685.722165331743,3.5475125312805176,3.986876010894776,53.88628768920898,0.0080002,0.5441
180,275.4191370010376,22133.436063921057,3.654369831085205,3.572038412094116,35.58906555175781,0.0090001,0.5497
200,305.2869551181793,21942.011211856017,3.777508974075317,3.614816904067993,37.1445426940918,0.01,0.4379
220,335.28709506988525,21845.231424086523,3.371299266815185,3.491424322128296,32.83267974853516,0.01,0.4271
240,365.46245408058167,21718.382862245027,3.799528121948242,3.308805465698242,27.35243225097656,0.01,0.3846
260,399.3800032138825,19322.150825943885,3.310457944869995,2.9673702716827397,19.44072914123535,0.01,0.3936
280,1378.8227689266205,669.1151570486063,3.109351873397827,3.0112969875335693,20.313730239868164,0.0099,0.4356
300,1408.345743894577,22198.304903598317,2.7148706912994385,2.9791252613067627,19.670602798461918,0.0099,0.3997
320,1438.2220511436462,21935.776551515333,3.705231189727783,2.669926643371582,14.438909530639648,0.0099,0.3498
340,1467.9853551387787,22019.060790669577,2.8572592735290527,3.031367301940918,20.72555160522461,0.0098,0.4521
360,1497.5016469955444,22203.331068153057,3.4171268939971924,2.778365135192871,16.092689514160156,0.0098,0.3707
380,1681.967759847641,3552.739253119419,3.3402953147888184,2.6296401023864746,13.86877727508545,0.0097,0.4015
400,1726.3616378307345,14762.395847679358,3.2129874229431152,2.915435075759888,18.45684051513672,0.0097,0.3356
420,1772.811593055725,14108.947938175956,2.8595011234283447,3.162271499633789,23.624197006225582,0.0096,0.4115
440,1817.8380069732664,14555.012113560371,2.9057092666625977,2.786466121673584,16.223587036132812,0.0095,0.3457
460,1864.4200320243835,14068.946107019574,2.811406135559082,2.9393367767333984,18.903305053710938,0.0094,0.3106
480,1910.1033930778503,14345.704538529491,3.068798542022705,2.853678941726685,17.351499557495117,0.0094,0.3389
500,1956.1698529720304,14226.402495556064,3.1124579906463623,2.5850517749786377,13.263976097106934,0.0093,0.3203
520,2002.3810470104215,14181.84519221778,2.8215644359588623,2.5537655353546143,12.855420112609863,0.0092,0.2939
540,2049.26197719574,13979.2448104036,3.166767120361328,2.8141002655029297,16.678163528442383,0.0091,0.3207
560,2099.864326953888,12951.17723054889,2.677329540252685,3.1865129470825195,24.203880310058597,0.0089,0.3279
580,2145.310250997544,14420.65518065956,2.869572877883911,2.959733247756958,19.292823791503903,0.0088,0.3358
600,2190.502627849579,14501.560786362616,2.432474374771118,2.558952569961548,12.922274589538574,0.0087,0.327
620,2236.2594339847565,14322.677987268047,2.9135100841522217,3.21497106552124,24.902570724487305,0.0086,0.3913
640,2282.932533979416,14041.492852949335,2.363468885421753,2.602334976196289,13.49521255493164,0.0085,0.3922
660,2329.5648231506348,14053.781438730732,2.352064371109009,2.539024591445923,12.667308807373049,0.0083,0.38
680,2375.6089930534363,14233.28949970114,3.0189449787139893,2.470300674438477,11.82600212097168,0.0082,0.3857
700,2420.8929789066315,14472.224289721142,2.867413282394409,2.838000059127808,17.08156967163086,0.008,0.3721
720,2467.0018849372864,14213.306200851792,3.0505259037017822,2.588353395462036,13.30784034729004,0.0079,0.296
740,2537.026345014572,9359.015396572588,2.694711685180664,2.7196803092956543,15.175470352172852,0.0077,0.3302
760,2567.0858759880066,21802.07005156481,2.76414155960083,2.6756341457366943,14.52155590057373,0.0076,0.3125
780,2596.60196685791,22203.482259510376,2.304417848587036,2.402215480804444,11.047625541687012,0.0074,0.3188
800,2626.250953912735,22103.95919388929,2.818141460418701,2.5961806774139404,13.412413597106934,0.0073,0.3504
820,2656.193380832672,21887.33738091314,2.775296688079834,2.647445678710937,14.11793041229248,0.0071,0.3055
840,2687.0080859661102,21267.768007581744,2.725611448287964,2.311450481414795,10.089048385620115,0.0069,0.3204
860,2716.784147977829,22009.6263818256,2.7144007682800293,2.8412303924560547,17.136837005615234,0.0068,0.3084
880,2746.722540140152,21890.287108496108,2.230942964553833,2.5199978351593018,12.428569793701172,0.0066,0.3148
900,2776.628113031388,21914.3101649817,2.575131893157959,2.977886438369751,19.646249771118164,0.0064,0.3973
920,2806.9387929439545,21621.421950626736,2.4592134952545166,2.613846778869629,13.651464462280272,0.0062,0.2982
