Step,Learning Rate,Train Loss,Validation Loss,Perplexity,Time Elapsed
0,2.1457672119140625e-06,6.2439165115356445,6.236635684967041,511.135986328125,1e-08,0.0
5,19.857818126678467,6.239112854003906,6.247121334075928,516.5238037109375,tensor(5.5000e-06),tensor(0.3757)
9,35.88024616241455,6.243812084197998,6.2343902587890625,509.98956298828125,1.0000000000000002e-06,tensor(0.3394)
